x;y;z;T;phi;Q
0.500000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.000000;0.866000;0.000000;0.000000;0.000000;0.000000;
0.500000;1.732000;0.000000;0.000000;0.000000;0.000000;
0.000000;2.598000;0.000000;0.000000;0.000000;0.000000;
0.500000;3.464000;0.000000;0.000000;0.000000;0.000000;
0.000000;4.330000;0.000000;0.000000;0.000000;0.000000;
0.500000;5.196000;0.000000;0.000000;0.000000;0.000000;
0.000000;6.062000;0.000000;0.000000;0.000000;0.000000;
0.500000;6.928000;0.000000;0.000000;0.000000;0.000000;
0.000000;7.794000;0.000000;0.000000;0.000000;0.000000;
0.500000;8.660000;0.000000;0.000000;0.000000;0.000000;
0.000000;9.526000;0.000000;0.000000;0.000000;0.000000;
0.500000;10.392000;0.000000;0.000000;0.000000;0.000000;
0.000000;11.258000;0.000000;0.000000;0.000000;0.000000;
0.500000;12.124000;0.000000;0.000000;0.000000;0.000000;
0.000000;12.990000;0.000000;0.000000;0.000000;0.000000;
0.500000;13.856000;0.000000;0.000000;0.000000;0.000000;
0.000000;14.722000;0.000000;0.000000;0.000000;0.000000;
0.500000;15.588000;0.000000;0.000000;0.000000;0.000000;
0.000000;16.454000;0.000000;0.000000;0.000000;0.000000;
0.500000;17.320000;0.000000;0.000000;0.000000;0.000000;
0.000000;18.186001;0.000000;0.000000;0.000000;0.000000;
0.500000;19.052000;0.000000;0.000000;0.000000;0.000000;
0.000000;19.917999;0.000000;0.000000;0.000000;0.000000;
0.500000;20.784000;0.000000;0.000000;0.000000;0.000000;
0.000000;21.650000;0.000000;0.000000;0.000000;0.000000;
0.500000;22.516001;0.000000;0.000000;0.000000;0.000000;
0.000000;23.382000;0.000000;0.000000;0.000000;0.000000;
0.500000;24.247999;0.000000;0.000000;0.000000;0.000000;
0.000000;25.114000;0.000000;0.000000;0.000000;0.000000;
0.500000;25.980000;0.000000;0.000000;0.000000;0.000000;
0.000000;26.846001;0.000000;0.000000;0.000000;0.000000;
0.500000;27.712000;0.000000;0.000000;0.000000;0.000000;
0.000000;28.577999;0.000000;0.000000;0.000000;0.000000;
0.500000;29.444000;0.000000;0.000000;0.000000;0.000000;
0.000000;30.309999;0.000000;0.000000;0.000000;0.000000;
0.500000;31.176001;0.000000;0.000000;0.000000;0.000000;
0.000000;32.042000;0.000000;0.000000;0.000000;0.000000;
0.500000;32.908001;0.000000;0.000000;0.000000;0.000000;
0.000000;33.773998;0.000000;0.000000;0.000000;0.000000;
0.500000;34.639999;0.000000;0.000000;0.000000;0.000000;
0.000000;35.506001;0.000000;0.000000;0.000000;0.000000;
0.500000;36.372002;0.000000;0.000000;0.000000;0.000000;
0.000000;37.237999;0.000000;0.000000;0.000000;0.000000;
0.500000;38.104000;0.000000;0.000000;0.000000;0.000000;
0.000000;38.970001;0.000000;0.000000;0.000000;0.000000;
0.500000;39.835999;0.000000;0.000000;0.000000;0.000000;
0.000000;40.702000;0.000000;0.000000;0.000000;0.000000;
0.500000;41.568001;0.000000;0.000000;0.000000;0.000000;
0.000000;42.433998;0.000000;0.000000;0.000000;0.000000;
0.500000;43.299999;0.000000;0.000000;0.000000;0.000000;
0.000000;44.166000;0.000000;0.000000;0.000000;0.000000;
0.500000;45.032001;0.000000;0.000000;0.000000;0.000000;
0.000000;45.897999;0.000000;0.000000;0.000000;0.000000;
0.500000;46.764000;0.000000;0.000000;0.000000;0.000000;
0.000000;47.630001;0.000000;0.000000;0.000000;0.000000;
0.500000;48.495998;0.000000;0.000000;0.000000;0.000000;
0.000000;49.362000;0.000000;0.000000;0.000000;0.000000;
0.500000;50.228001;0.000000;0.000000;0.000000;0.000000;
0.000000;51.094002;0.000000;0.000000;0.000000;0.000000;
0.500000;51.959999;0.000000;0.000000;0.000000;0.000000;
0.000000;52.826000;0.000000;0.000000;0.000000;0.000000;
