x;y;z;T;phi;Q;Ex;Ey;Ez
0.000050;0.000000;0.000000;24710.089051;-0.500000;105440627871.859650;105440627871.859650;-0.500000;0.000000;
0.000000;0.000087;0.000000;13006.811025;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000173;0.000000;27089.417418;-0.500000;90707702765.891983;90707702765.891983;-0.500000;0.000000;
0.000000;0.000260;0.000000;13096.557476;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000346;0.000000;26732.715487;-0.500000;88968242973.778870;88968242973.778870;-0.500000;0.000000;
0.000000;0.000433;0.000000;12910.631653;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000520;0.000000;26376.777080;-0.500000;87797091345.650513;87797091345.650513;-0.500000;0.000000;
0.000000;0.000606;0.000000;12734.953258;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000693;0.000000;25988.645360;-0.500000;86497160766.704361;86497160766.704361;-0.500000;0.000000;
0.000000;0.000779;0.000000;12532.016002;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.000866;0.000000;25528.623254;-0.500000;84949289229.321381;84949289229.321381;-0.500000;0.000000;
0.000000;0.000953;0.000000;12291.727308;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001039;0.000000;24987.616365;-0.500000;83126973562.504166;83126973562.504166;-0.500000;0.000000;
0.000000;0.001126;0.000000;12012.181937;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001212;0.000000;24365.045641;-0.500000;81029204704.283340;81029204704.283340;-0.500000;0.000000;
0.000000;0.001299;0.000000;11694.020504;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001386;0.000000;23663.720320;-0.500000;78665716576.806503;78665716576.806503;-0.500000;0.000000;
0.000000;0.001472;0.000000;11339.110121;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001559;0.000000;22888.475595;-0.500000;76052891280.050827;76052891280.050827;-0.500000;0.000000;
0.000000;0.001645;0.000000;10950.171891;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001732;0.000000;22045.764268;-0.500000;73212511661.337997;73212511661.337997;-0.500000;0.000000;
0.000000;0.001819;0.000000;10530.667268;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.001905;0.000000;21143.529291;-0.500000;70171374731.361755;70171374731.361755;-0.500000;0.000000;
0.000000;0.001992;0.000000;10084.759593;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002078;0.000000;20191.148464;-0.500000;66961123207.652725;66961123207.652725;-0.500000;0.000000;
0.000000;0.002165;0.000000;9617.287620;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002252;0.000000;19199.369373;-0.500000;63618034765.204308;63618034765.204308;-0.500000;0.000000;
0.000000;0.002338;0.000000;9133.723696;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002425;0.000000;18180.195092;-0.500000;60182640257.997833;60182640257.997833;-0.500000;0.000000;
0.000000;0.002511;0.000000;8640.102631;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002598;0.000000;17146.699875;-0.500000;56699101775.707672;56699101775.707672;-0.500000;0.000000;
0.000000;0.002685;0.000000;8142.914332;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002771;0.000000;16112.766287;-0.500000;53214321652.890503;53214321652.890503;-0.500000;0.000000;
0.000000;0.002858;0.000000;7648.958783;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.002944;0.000000;15092.746456;-0.500000;49776791293.391701;49776791293.391701;-0.500000;0.000000;
0.000000;0.003031;0.000000;7165.167402;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003118;0.000000;14101.061619;-0.500000;46435227925.407494;46435227925.407494;-0.500000;0.000000;
0.000000;0.003204;0.000000;6698.400356;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003291;0.000000;13151.765402;-0.500000;43237086104.004204;43237086104.004204;-0.500000;0.000000;
0.000000;0.003377;0.000000;6255.234461;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003464;0.000000;12258.105714;-0.500000;40227063479.392220;40227063479.392220;-0.500000;0.000000;
0.000000;0.003551;0.000000;5841.760035;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003637;0.000000;11432.125806;-0.500000;37445740196.041725;37445740196.041725;-0.500000;0.000000;
0.000000;0.003724;0.000000;5463.406532;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003811;0.000000;10684.345119;-0.500000;34928492030.233032;34928492030.233032;-0.500000;0.000000;
0.000000;0.003897;0.000000;5124.815241;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.003984;0.000000;10023.554025;-0.500000;32704795208.977627;32704795208.977627;-0.500000;0.000000;
0.000000;0.004070;0.000000;4829.772604;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004157;0.000000;9456.743392;-0.500000;30797995752.596313;30797995752.596313;-0.500000;0.000000;
0.000000;0.004244;0.000000;4581.209970;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004330;0.000000;8989.171494;-0.500000;29225552599.943169;29225552599.943169;-0.500000;0.000000;
0.000000;0.004417;0.000000;4381.265974;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004503;0.000000;8624.549673;-0.500000;27999690759.523685;27999690759.523685;-0.500000;0.000000;
0.000000;0.004590;0.000000;4231.397631;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004677;0.000000;8365.308227;-0.500000;27128331201.293392;27128331201.293392;-0.500000;0.000000;
0.000000;0.004763;0.000000;4132.517698;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.004850;0.000000;8212.889234;-0.500000;26616112920.855801;26616112920.855801;-0.500000;0.000000;
0.000000;0.004936;0.000000;4085.130808;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005023;0.000000;8168.007454;-0.500000;26465302737.393360;26465302737.393360;-0.500000;0.000000;
0.000000;0.005110;0.000000;4089.440817;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005196;0.000000;8230.825925;-0.500000;26676407525.599670;26676407525.599670;-0.500000;0.000000;
0.000000;0.005283;0.000000;4145.407168;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005369;0.000000;8401.009386;-0.500000;27248360751.836056;27248360751.836056;-0.500000;0.000000;
0.000000;0.005456;0.000000;4252.738152;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005543;0.000000;8677.643091;-0.500000;28178240179.283081;28178240179.283081;-0.500000;0.000000;
0.000000;0.005629;0.000000;4410.821670;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005716;0.000000;9059.032098;-0.500000;29460569118.864506;29460569118.864506;-0.500000;0.000000;
0.000000;0.005802;0.000000;4618.607010;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.005889;0.000000;9542.420843;-0.500000;31086339430.793419;31086339430.793419;-0.500000;0.000000;
0.000000;0.005976;0.000000;4874.461276;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006062;0.000000;10123.689570;-0.500000;33041952443.789680;33041952443.789680;-0.500000;0.000000;
0.000000;0.006149;0.000000;5176.029578;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006235;0.000000;10797.089428;-0.500000;35308292199.136108;35308292199.136108;-0.500000;0.000000;
0.000000;0.006322;0.000000;5520.127590;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006409;0.000000;11555.071137;-0.500000;37860121226.811096;37860121226.811096;-0.500000;0.000000;
0.000000;0.006495;0.000000;5902.689197;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006582;0.000000;12388.244991;-0.500000;40665929528.662781;40665929528.662781;-0.500000;0.000000;
0.000000;0.006668;0.000000;6318.782019;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006755;0.000000;13285.486950;-0.500000;43688287617.352242;43688287617.352242;-0.500000;0.000000;
0.000000;0.006842;0.000000;6762.692186;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.006928;0.000000;14234.182118;-0.500000;46884672989.799492;46884672989.799492;-0.500000;0.000000;
0.000000;0.007015;0.000000;7228.069249;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007101;0.000000;15220.577690;-0.500000;50208673132.784180;50208673132.784180;-0.500000;0.000000;
0.000000;0.007188;0.000000;7708.114601;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007275;0.000000;16230.205658;-0.500000;53611427663.070290;53611427663.070290;-0.500000;0.000000;
0.000000;0.007361;0.000000;8195.793043;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007448;0.000000;17248.331956;-0.500000;57043160147.244682;57043160147.244682;-0.500000;0.000000;
0.000000;0.007534;0.000000;8684.047188;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007621;0.000000;18260.392122;-0.500000;60454662475.084343;60454662475.084343;-0.500000;0.000000;
0.000000;0.007708;0.000000;9165.997340;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007794;0.000000;19252.381892;-0.500000;63798623653.849617;63798623653.849617;-0.500000;0.000000;
0.000000;0.007881;0.000000;9635.114172;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.007967;0.000000;20211.181987;-0.500000;67030732418.933022;67030732418.933022;-0.500000;0.000000;
0.000000;0.008054;0.000000;10085.357047;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008141;0.000000;21124.808070;-0.500000;70110523038.108673;70110523038.108673;-0.500000;0.000000;
0.000000;0.008227;0.000000;10511.276472;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008314;0.000000;21982.588693;-0.500000;73001973772.641479;73001973772.641479;-0.500000;0.000000;
0.000000;0.008400;0.000000;10908.085105;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008487;0.000000;22775.287320;-0.500000;75673911207.332123;75673911207.332123;-0.500000;0.000000;
0.000000;0.008574;0.000000;11271.709259;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008660;0.000000;23495.204187;-0.500000;78100336865.178238;78100336865.178238;-0.500000;0.000000;
0.000000;0.008747;0.000000;11598.846602;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.008833;0.000000;24136.336544;-0.500000;80260925649.174698;80260925649.174698;-0.500000;0.000000;
0.000000;0.008920;0.000000;11887.091256;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009007;0.000000;24694.800227;-0.500000;82142321276.646591;82142321276.646591;-0.500000;0.000000;
0.000000;0.009093;0.000000;12135.304994;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009180;0.000000;25170.167199;-0.500000;83742161385.012299;83742161385.012299;-0.500000;0.000000;
0.000000;0.009266;0.000000;12344.903055;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009353;0.000000;25570.448747;-0.500000;85083417213.623810;85083417213.623810;-0.500000;0.000000;
0.000000;0.009440;0.000000;12525.331075;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009526;0.000000;25933.531753;-0.500000;86279577216.475891;86279577216.475891;-0.500000;0.000000;
0.000000;0.009613;0.000000;12712.722787;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009699;0.000000;26290.939958;-0.500000;88005545946.070374;88005545946.070374;-0.500000;0.000000;
0.000000;0.009786;0.000000;12629.454648;-0.500000;0.000000;0.000000;-0.500000;0.000000;
0.000050;0.009873;0.000000;23986.698815;-0.500000;102317619895.577728;102317619895.577728;-0.500000;0.000000;
